,time,avg_temp,min_temp,max_temp,precipitation,location,precipitation_rounded
324,25-07-1991,22.7,19.8,28.6,0.0,Bangalore,0.0
325,26-07-1991,22.5,20.0,27.4,0.5,Bangalore,0.0
326,27-07-1991,21.4,19.9,24.1,1.0,Bangalore,0.0
327,29-07-1991,21.9,19.7,26.6,2.8,Bangalore,0.0
328,31-07-1991,22.2,20.2,27.5,0.0,Bangalore,0.0
329,02-08-1991,22.3,19.7,25.6,5.6,Bangalore,10.0
330,04-08-1991,22.0,19.7,27.6,6.9,Bangalore,10.0
331,05-08-1991,22.4,19.5,25.5,47.2,Bangalore,50.0
332,08-08-1991,22.8,19.1,26.3,3.8,Bangalore,0.0
333,10-08-1991,22.4,18.9,26.1,2.8,Bangalore,0.0
334,17-08-1991,22.1,19.7,26.5,0.0,Bangalore,0.0
335,19-08-1991,22.6,18.5,26.6,15.0,Bangalore,20.0
336,20-08-1991,22.5,17.8,26.8,0.0,Bangalore,0.0
337,22-08-1991,22.4,19.4,26.6,0.0,Bangalore,0.0
338,25-08-1991,22.3,18.7,27.4,0.0,Bangalore,0.0
339,27-08-1991,23.1,18.9,27.3,0.0,Bangalore,0.0
340,28-08-1991,22.7,19.0,27.3,0.0,Bangalore,0.0
341,30-08-1991,23.2,18.6,27.6,1.8,Bangalore,0.0
342,02-09-1991,25.2,20.1,30.5,0.0,Bangalore,0.0
343,04-09-1991,24.2,19.3,29.6,11.2,Bangalore,10.0
344,07-09-1991,23.5,19.0,28.0,0.0,Bangalore,0.0
345,11-09-1991,24.6,20.4,29.5,3.8,Bangalore,0.0
346,13-09-1991,21.7,19.9,27.1,71.1,Bangalore,70.0
347,14-09-1991,23.3,19.7,29.6,46.5,Bangalore,50.0
348,15-09-1991,22.6,20.7,28.1,0.0,Bangalore,0.0
349,16-09-1991,22.8,20.1,28.0,7.1,Bangalore,10.0
350,17-09-1991,22.8,20.3,27.2,0.8,Bangalore,0.0
351,20-09-1991,22.9,18.9,27.2,0.0,Bangalore,0.0
352,21-09-1991,20.8,20.2,25.6,18.5,Bangalore,20.0
353,22-09-1991,23.0,19.2,28.3,13.0,Bangalore,10.0
354,23-09-1991,22.5,19.9,26.6,3.3,Bangalore,0.0
355,24-09-1991,23.3,19.7,27.8,1.8,Bangalore,0.0
356,25-09-1991,24.1,19.4,29.4,0.8,Bangalore,0.0
357,26-09-1991,25.2,20.8,31.0,0.0,Bangalore,0.0
358,29-09-1991,23.4,19.4,29.9,2.5,Bangalore,0.0
359,30-09-1991,25.1,19.5,30.6,0.5,Bangalore,0.0
360,02-10-1991,23.1,19.4,29.4,7.9,Bangalore,10.0
361,03-10-1991,23.8,19.0,29.4,0.0,Bangalore,0.0
362,04-10-1991,25.6,20.0,30.7,0.0,Bangalore,0.0
363,07-10-1991,24.2,19.4,28.6,23.6,Bangalore,20.0
364,08-10-1991,22.9,11.8,27.4,0.3,Bangalore,0.0
365,09-10-1991,23.2,20.2,28.7,0.0,Bangalore,0.0
366,10-10-1991,21.9,19.0,24.7,3.3,Bangalore,0.0
367,11-10-1991,23.7,19.0,28.6,0.8,Bangalore,0.0
368,14-10-1991,23.7,18.8,28.3,0.0,Bangalore,0.0
369,15-10-1991,23.7,19.0,28.7,0.0,Bangalore,0.0
370,16-10-1991,23.7,20.1,28.8,0.0,Bangalore,0.0
371,19-10-1991,23.4,19.4,28.5,0.0,Bangalore,0.0
372,21-10-1991,23.3,19.6,27.5,0.0,Bangalore,0.0
373,23-10-1991,22.6,19.2,26.8,0.0,Bangalore,0.0
374,24-10-1991,21.9,18.4,28.0,3.3,Bangalore,0.0
375,29-10-1991,19.8,19.2,20.6,50.8,Bangalore,50.0
376,31-10-1991,20.8,19.1,22.8,51.3,Bangalore,50.0
377,02-11-1991,22.4,20.0,26.0,0.0,Bangalore,0.0
378,03-11-1991,22.7,20.0,27.4,0.0,Bangalore,0.0
379,05-11-1991,22.9,19.2,28.6,0.0,Bangalore,0.0
380,07-11-1991,21.4,17.0,27.0,0.0,Bangalore,0.0
381,10-11-1991,21.9,18.7,26.8,0.0,Bangalore,0.0
382,12-11-1991,22.4,17.6,26.9,0.0,Bangalore,0.0
383,13-11-1991,23.1,17.7,27.5,0.0,Bangalore,0.0
384,16-11-1991,19.4,18.4,20.1,255.0,Bangalore,260.0
385,17-11-1991,20.5,18.8,22.6,36.3,Bangalore,40.0
386,18-11-1991,21.1,18.8,24.6,2.0,Bangalore,0.0
387,21-11-1991,21.2,17.5,24.8,0.0,Bangalore,0.0
388,22-11-1991,20.2,17.1,25.8,0.0,Bangalore,0.0
389,25-11-1991,20.4,17.2,24.4,0.0,Bangalore,0.0
390,26-11-1991,21.3,17.0,27.4,0.0,Bangalore,0.0
391,29-11-1991,20.6,12.2,28.0,0.0,Bangalore,0.0
392,30-11-1991,21.5,13.0,28.6,0.0,Bangalore,0.0
